iter	Logloss
0	0.6461654478
1	0.6063810163
2	0.5713409109
3	0.5400313319
4	0.5141704997
5	0.4922472068
6	0.472043888
7	0.4554076498
8	0.4404162216
9	0.4274900387
10	0.4156563847
11	0.4059221908
12	0.3974205457
13	0.390534322
14	0.3833894583
15	0.377392644
16	0.3722876056
17	0.3677004312
18	0.3634077817
19	0.3600643141
20	0.356681241
21	0.3536099314
22	0.3508112895
23	0.3485015848
24	0.3463008005
25	0.3442344105
26	0.3424988988
27	0.3408214321
28	0.3393808631
29	0.3379003825
30	0.3369173143
31	0.3358007722
32	0.3348388142
33	0.3341484455
34	0.3332167381
35	0.3325776391
36	0.3318206644
37	0.3310329376
38	0.3304099541
39	0.3298735684
40	0.3292922309
41	0.3289287273
42	0.3285236148
43	0.3280285677
44	0.3275643575
45	0.3272799481
46	0.3268859876
47	0.3266444815
48	0.3262824572
49	0.3260552659
50	0.3257737865
51	0.3254909384
52	0.3252805054
53	0.3250346765
54	0.3248399959
55	0.3246876815
56	0.324528774
57	0.324297777
58	0.3241507098
59	0.3239181596
60	0.323809921
61	0.3236834339
62	0.3235187606
63	0.3233503402
64	0.3232084598
65	0.3230746016
66	0.322966863
67	0.3228697195
68	0.3227731068
69	0.3226429868
70	0.3225109722
71	0.3224178188
72	0.3223356737
73	0.3222462875
74	0.3221631147
75	0.3220825657
76	0.3219847562
77	0.321909442
78	0.3218270732
79	0.3217525312
80	0.3216537707
81	0.3215736249
82	0.3215269141
83	0.3214427196
84	0.3213664379
85	0.3212794607
86	0.321200288
87	0.3211291494
88	0.3210811115
89	0.3210199927
90	0.3209594915
91	0.3209102381
92	0.3208493446
93	0.3207937608
94	0.3207226709
95	0.3206763251
96	0.3206065542
97	0.3205578823
98	0.3205036319
99	0.3204536283
100	0.3203954298
101	0.3203323116
102	0.3202854328
103	0.3202471291
104	0.3201924813
105	0.3201489268
106	0.3200755051
107	0.3200217668
108	0.3199970388
109	0.3199476847
110	0.3199121573
111	0.3198692159
112	0.319822341
113	0.319783359
114	0.3197433745
115	0.3197064122
116	0.3196717498
117	0.3196377773
118	0.3195842421
119	0.319529559
120	0.3194921451
121	0.3194540187
122	0.3194092333
123	0.3193729313
124	0.3193265989
125	0.3192871213
126	0.3192635762
127	0.3192191611
128	0.3191906691
129	0.3191548844
130	0.3191214911
131	0.3190836786
132	0.3190570028
133	0.3190278771
134	0.3190027484
135	0.3189813256
136	0.3189758059
137	0.3189320258
138	0.3188896359
139	0.3188562529
140	0.3188112
141	0.3187834607
142	0.3187638309
143	0.3187357283
144	0.3186999735
145	0.318673487
146	0.3186278464
147	0.3185892882
148	0.3185559035
149	0.3185526934
150	0.3185101348
151	0.3184745609
152	0.3184475297
153	0.3184151688
154	0.3183864841
155	0.3183558982
156	0.3183153853
157	0.3182791067
158	0.3182612139
159	0.3182233327
160	0.3181955016
161	0.3181604158
162	0.3181256714
163	0.3181052792
164	0.3180781477
165	0.3180460517
166	0.318017034
167	0.3179940376
168	0.3179630094
169	0.3179244694
170	0.3179039677
171	0.3178815818
172	0.3178582641
173	0.3178201463
174	0.3177829967
175	0.3177488549
176	0.3177238763
177	0.3176959724
178	0.3176625598
179	0.3176368958
180	0.3176129868
181	0.3175824526
182	0.3175540538
183	0.3175323265
184	0.3175037819
185	0.3174780245
186	0.3174442777
187	0.3174154716
188	0.3173921187
189	0.3173576841
190	0.3173249035
191	0.3172996319
192	0.3172805548
193	0.3172606941
194	0.3172410002
195	0.3172082955
196	0.3171893372
197	0.3171697097
198	0.3171549569
199	0.3171272603
200	0.3171078737
201	0.317073162
202	0.3170515465
203	0.3170231373
204	0.3170018327
205	0.3169653959
206	0.3169376707
207	0.3169107259
208	0.3168903882
209	0.3168645371
210	0.3168384417
211	0.3168070004
212	0.3167904184
213	0.3167716239
214	0.3167385722
215	0.3167098277
216	0.3166929304
217	0.316664243
218	0.3166360785
219	0.316607395
220	0.3165895611
221	0.3165631
222	0.316538507
223	0.3165138743
224	0.3164922888
225	0.3164627935
226	0.3164437759
227	0.3164192151
228	0.3163985631
229	0.3163738351
230	0.3163487679
231	0.3163326447
232	0.3163018176
233	0.316282001
234	0.3162590655
235	0.3162331182
236	0.3162089153
237	0.3161897244
238	0.3161705466
239	0.3161492989
240	0.3161216172
241	0.3160942136
242	0.3160645114
243	0.3160362443
244	0.3160098037
245	0.3159846991
246	0.3159631819
247	0.3159355459
248	0.3159081718
249	0.3158887485
250	0.3158624229
251	0.3158319607
252	0.3158068108
253	0.3157864879
254	0.3157681115
255	0.3157312937
256	0.3157011201
257	0.3156788739
258	0.3156520908
259	0.315623367
260	0.3155968834
261	0.3155702251
262	0.3155458712
263	0.3155163126
264	0.3154849392
265	0.3154574056
266	0.3154385086
267	0.3154101966
268	0.3153801558
269	0.315359243
270	0.315335452
271	0.3153099893
272	0.3152884419
273	0.3152586708
274	0.3152260041
275	0.3152019816
276	0.3151787174
277	0.3151463819
278	0.3151220135
279	0.3151001184
280	0.3150614473
281	0.3150291096
282	0.314994475
283	0.3149665724
284	0.314945313
285	0.3149233074
286	0.3149012075
287	0.3148752203
288	0.3148544083
289	0.3148222215
290	0.3147938756
291	0.3147662735
292	0.3147419403
293	0.3147198103
294	0.3146969462
295	0.3146721226
296	0.3146463046
297	0.3146239873
298	0.3146030998
299	0.3145811399
